No,ComponentName,TotalComponent
1,92210,60
2,2210124,40
3,814560,40
4,824513,40
5,815650,20
6,14025,20
7,2199,20
8,4299,20
9,815659,20
10,7175,20
11,814410,20
12,814417,20
13,814440,20
14,814454,20
15,814466,20
16,816363,20
17,823910,20
18,823913,20
19,823959,20
20,824060,20
21,824082,20
22,824084,20
23,824131,20
24,824549,20
25,824551,20
26,824552,20
27,824553,20
28,824557,20
29,824596,20
30,830,20
31,84277,20
32,85800,20
33,86207,20
34,88126,20
35,922410,20
36,824058,20
37,823962,20
38,823853,40
39,824541,20
40,823852,20
41,816422,20
42,823950,40
43,814438,40
44,816429,40
45,12874,40
46,824594,40
47,824583,40
48,824555,40
49,824579,40
50,823864,40
